rd;organization_id;organization_name
1;ABELS;Bachelor of Arts in English Language Studies
5;BSIT;Bachelor of Science in Information Technology
6;BSPA;Bachelor of Science in Public Administration
7;BSSW;Bachelor of Science in Social Works
8;BTVTEd;Bachelor of Technical-Vocational Teacher Education
9;DHRS;Diploma in Hotel and Restaurant Services
10;DLL-OSAS;Office of the Student Affairs and Services
2;BSA;Bachelor of Science in Accountancy
3;BSAIS;Bachelor of Science in Accounting Information System
4;BSE;Bachelor of Science in Entrepreneurship
